Execution Time    Input Size
1.417000e+00    10
9.375000e+00    100
9.875000e+01    1000
2.166000e+00    10
1.458000e+00    10
1.916000e+00    10
2.000000e+00    10
1.416000e+00    10
1.375000e+00    10
1.625000e+00    10
1.541000e+00    10
1.500000e+00    10
1.417000e+00    10
1.333000e+00    10
1.208000e+00    10
1.417000e+00    10
1.291000e+00    10
1.083000e+00    10
1.291000e+00    10
1.167000e+00    10
1.250000e+00    10
1.000000e+00    10
1.208000e+00    10
1.167000e+00    10
8.750000e-01    10
1.125000e+00    10
1.041000e+00    10
1.000000e+00    10
1.095800e+01    100
1.154100e+01    100
1.075000e+01    100
1.016700e+01    100
9.708000e+00    100
1.012500e+01    100
9.750000e+00    100
9.917000e+00    100
9.792000e+00    100
9.666000e+00    100
1.008400e+01    100
9.709000e+00    100
9.209000e+00    100
9.292000e+00    100
9.625000e+00    100
9.542000e+00    100
9.750000e+00    100
8.542000e+00    100
8.208000e+00    100
8.667000e+00    100
9.000000e+00    100
8.167000e+00    100
8.500000e+00    100
9.125000e+00    100
8.333000e+00    100
9.941600e+01    1000
9.704200e+01    1000
1.003340e+02    1000
9.862500e+01    1000
9.816600e+01    1000
9.650000e+01    1000
9.729100e+01    1000
9.754200e+01    1000
9.695800e+01    1000
9.925000e+01    1000
9.916700e+01    1000
9.712500e+01    1000
1.087500e+02    1000
9.591600e+01    1000
9.879100e+01    1000
9.916700e+01    1000
9.520900e+01    1000
9.895900e+01    1000
9.645800e+01    1000
9.600000e+01    1000
9.908300e+01    1000
9.604100e+01    1000
1.007500e+02    1000
9.845800e+01    1000
9.720800e+01    1000
